Brocart rouge	Textile > Soie
Brocatelle	Textile > Brocatelle
Brocatelle bleue	Textile > Brocatelle
Brocatelle crème	Textile > Brocatelle
Brocatelle grise	Textile > Brocatelle
Brocatelle jaune	Textile > Brocatelle
Brocatelle orange	Textile > Brocatelle
Brocatelle rose	Textile > Brocatelle
Brocatelle rouge	Textile > Brocatelle
Brocatelle verte	Textile > Brocatelle
Brocatelle violette	Textile > Brocatelle
Broderie	Textile
Bronze	Métal > Bronze
Cannage	
Coton	Textile > Coton
Coton blanc	Textile > Coton
Coton bleu	Textile > Coton
Coton jaune	Textile > Coton
Coton orange	Textile > Coton
Coton rose	Textile > Coton
Coton rouge	Textile > Coton
Coton vert	Textile > Coton
Crin	
Crin blanc	
Crin bleu	
Crin crème	
Crin gris	
Crin jaune	
Crin marron	
Crin noir	
Crin orange	
Crin rose	
Crin rouge	
Crin vert	
Cuir	Cuir et skaï > Cuir
Cuir beige	Cuir et skaï > Cuir
Cuir blanc	Cuir et skaï > Cuir
Cuir bleu	Cuir et skaï > Cuir
Cuir bordeaux	Cuir et skaï > Cuir
Cuir fauve	Cuir et skaï > Cuir
Cuir gris	Cuir et skaï > Cuir
Cuir havane	Cuir et skaï > Cuir
Cuir jaune	Cuir et skaï > Cuir
Cuir marron	Cuir et skaï > Cuir
Cuir noir	Cuir et skaï > Cuir
Cuir orange	Cuir et skaï > Cuir
Cuir rose	Cuir et skaï > Cuir
Cuir rouge	Cuir et skaï > Cuir
Cuir vert	Cuir et skaï > Cuir
Cuir violet	Cuir et skaï > Cuir
Daim bleu	Cuir et skaï > Daim
Damas beige	Textile > Damas
Damas blanc	Textile > Damas
Damas bleu	Textile > Damas
Damas crème	Textile > Damas
Damas gris	Textile > Damas
Damas jaune	Textile > Damas
Damas marron	Textile > Damas
Damas rose	Textile > Damas
Damas rouge	Textile > Damas
Damas vert	Textile > Damas
Damas violet	Textile > Damas
Dégarni	
Drap beige	Textile
Drap bleu	Textile
Drap crème	Textile
Drap jaune	Textile
Drap marron	Textile
Drap noir	Textile
Drap rose	Textile
Drap rouge	Textile
Drap vert	Textile
Drap violet	Textile
Feutre marron	Textile > Feutre et feutrine
Feutre noir	Textile > Feutre et feutrine
Feutre orange	Textile > Feutre et feutrine
Feutre rose	Textile > Feutre et feutrine
Feutre rouge	Textile > Feutre et feutrine
Feutre vert	Textile > Feutre et feutrine
Feutrine noire	Textile > Feutre et feutrine
Feutrine rouge	Textile > Feutre et feutrine
Feutrine verte	Textile > Feutre et feutrine
Flanelle marron	Textile > Flanelle
Indienne	Textile > Indienne
Jersey beige	Textile > Jersey
Jersey blanc	Textile > Jersey
Jersey bleu	Textile > Jersey
Jersey jaune	Textile > Jersey
Jersey marron	Textile > Jersey
Jersey orange	Textile > Jersey
