ACCESSOIRE	Textile > Vêtement et accessoire > Accessoire
AIGUIERE	Objet décoratif > Art de la table
ALBUM	
ALCOVE	
APPLIQUE	Luminaire > Applique
AQUARELLE	Beaux arts > Art graphique > Dessin
ARGENTERIE	Objet décoratif > Art de la table
ARMOIRE	Meuble > Rangement > Armoire
ARMOIRIES	
ASSIETTE	Objet décoratif > Art de la table > Service de table
ASSIETTE CREUSE	Objet décoratif > Art de la table > Service de table
ASSIETTE PLATE	Objet décoratif > Art de la table > Service de table
ATHENIENNE	Meuble
ATLAS	Beaux arts > Art graphique > Carte et plan
BAHUT	Meuble > Rangement
BALAI D'ATRE	
BALDAQUIN	Meuble > Lit
BANC	Siège > Banquette et tabouret > Banc
BANC D'ANGLE	Siège > Banquette et tabouret > Banc
BANDEAU	
BANQUETTE	Siège > Banquette et tabouret > Banquette
BAR	Meuble
BARRE DE FOYER	
BAS D'ARMOIRE	Meuble > Rangement > Armoire
BASSIN	
BASSINOIRE	Objet décoratif > Art de la table
BATON	
BATON DE MARECHAL	
BENITIER	
BENITIER ET GOUPILLON	
BERGERE	Siège > Fauteuil > Bergère
BIBELOT	Objet décoratif
BIBLIOTHEQUE	Meuble > Rangement > Bibliothèque
BIDET	
BILLARD	Meuble > Table > Table à jeux
BILLOT	
BOITE	Meuble > Rangement > Casier
BOITIER	
BONHEUR DU JOUR	Meuble
BORNE	
BORNE (PORTE-CHAINE)	
BORNE DECORATIVE	
BOUGEOIR	Luminaire > Chandelier > Bougeoir
BOUILLOIRE	Objet décoratif > Art de la table
BOUQUET	Luminaire > Chandelier
BOURSE DE CORPORAL	
BOUT DE TABLE	
BRANDON	
BRAS DE GIRANDOLE	Luminaire > Chandelier > Girandole
BRAS DE LUMIERE	Luminaire
BRASERO	
BROC	Objet décoratif > Art de la table
BRODERIE	Textile > Broderie
BRULE-PARFUM	
BUFFET	Meuble > Rangement > Buffet
BUREAU	Meuble > Bureau > Bureau
BURETTES	
CABINET	
CADRE	Beaux arts > Tableau
CADUCEE	
CAFETIERE	Objet décoratif > Art de la table > Service à thé et à café
CAGE	
CAISSE DE RANGEMENT	Meuble > Rangement > Casier
CAISSE DE SOIERIE	Meuble > Rangement > Casier
CAISSE DE SURTOUT	Meuble > Rangement > Casier
CAISSON	Meuble > Rangement > Casier
CALENDRIER	
CALENDRIER PERPETUEL	
CALICE	
CALICE ET PATENE	
CALQUE POUR TAPISSERIE	Beaux arts > Modèle pour tissage > Modèle pour tapisserie
CANAPE	Siège > Canapé > Canapé
CANDELABRE	Luminaire > Chandelier > Candélabre
CANON D'AUTEL	
CARAFE	Objet décoratif > Art de la table
CARAPACE TORTUE VERTE	
CARTE EN RELIEF	Beaux arts > Art graphique > Carte et plan
CARTEL	Objet décoratif > Horlogerie
CARTON	Beaux arts > Modèle pour tissage
CARTON DE BRODERIE	Beaux arts > Modèle pour tissage
CARTON DE DENTELLE	Beaux arts > Modèle pour tissage
CARTON DE GARNITURE DE MOBILIER	Beaux arts > Modèle pour tissage > Modèle pour garniture de meuble
CARTON DE TAPIS	Beaux arts > Modèle pour tissage > Modèle pour tapis
CARTON DE TAPIS MURAL	Beaux arts > Modèle pour tissage > Modèle pour tapis
CARTON DE TAPISSERIE	Beaux arts > Modèle pour tissage > Modèle pour tapisserie
CARTON POUR CANAPE	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR DOSSIER DE CANAPE	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR DOSSIER DE CHAISE	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR DOSSIER DE FAUTEUIL	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR ECRAN	Beaux arts > Modèle pour tissage > Modèle pour garniture de meuble
CARTON POUR FAUTEUIL	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR FEUILLE D'ECRAN	Beaux arts > Modèle pour tissage > Modèle pour garniture de meuble
CARTON POUR FEUILLE DE PARAVENT	Beaux arts > Modèle pour tissage > Modèle pour garniture de meuble
CARTON POUR FOND DE BANQUETTE	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR FOND DE CANAPE	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR FOND DE CHAISE	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR FOND DE FAUTEUIL	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR FOND DE TABOURET	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR GARNITURE DE FAUTEUIL	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR JOUE DE FAUTEUIL	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR MANCHETTES DE FAUTEUIL	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR PANNEAU	Beaux arts > Modèle pour tissage > Modèle pour tapisserie
CARTON POUR PARAVENT	Beaux arts > Modèle pour tissage > Modèle pour garniture de meuble
CARTON POUR TAPISSERIE DE SIEGE	Beaux arts > Modèle pour tissage > Modèle pour garniture de siège
CARTON POUR TISSAGE	Beaux arts > Modèle pour tissage
CARTONNIER	Meuble > Rangement
CASIER	Meuble > Rangement > Casier
CASSOLETTE	
CAUSEUSE	Siège > Canapé > Causeuse
CELLULE	
CENDRIER	
CERAMIQUE	
CHAINE	
CHAISE	Siège > Chaise > Chaise
CHAISE AJOUREE	Siège > Chaise > Chaise
CHAISE CONFORTABLE	Siège > Chaise > Chaise
CHAISE COQUE	Siège > Chaise > Chaise
CHAISE DACTYLO	Siège > Chaise > Chaise
CHAISE LONGUE	Siège > Chaise > Chaise longue
CHAISE PLIANTE	Siège > Chaise > Chaise
CHALUMEAU	
CHANDELIER	Luminaire > Chandelier > Chandelier
CHANDELIER D'AUTEL	Luminaire > Chandelier > Chandelier
CHAPELLE	
CHAR	
CHAUFFERETTE	
CHAUFFEUSE	Siège > Canapé > Chauffeuse
CHENET	Objet décoratif
CHEVALET	
CHEVET	Meuble > Table > Table de chevet
CHIFFONNIER	Meuble > Rangement > Chiffonnier
CHIFFRE	
CHOPE	Objet décoratif > Art de la table
CIBLE	
CIBOIRE	
CLASSEUR	
CLAUSTRA	
CLOCHE	
COFFRE	Meuble > Rangement > Casier
COFFRE-FORT	Meuble > Rangement > Casier
