Tissu précieux	Textile > Tissu précieux
Modèle / Projet	Beaux arts > Modèle pour tissage
Beaux-Arts	Beaux arts
Siège	Siège
Meuble	Meuble
LUSTRERIE	Luminaire > Lustre et plafonnier
Ateliers d’Aubusson	Textile > Tapisserie
Ateliers divers	
Ateliers étrangers	
Atelier indéterminé	
Ateliers parisiens	
ARCHIVES	
Cérémonie	
Cartes / Plans	Beaux arts > Art graphique
Editeur	Textile > Tapis
Horlogerie / Mesure	Objet décoratif > Horlogerie
Luminaire	Luminaire
Manufacture de Beauvais	Textile > Tapisserie
Manufacture des Gobelins	Textile > Tapisserie
Manufacture de la Savonnerie	Textile > Tapis
Objet d’Art décoratif	
La Table	Objet décoratif > Art de la table
Objet lié au chauffage	
Culte / Liturgie	
Toilette / Hygiène	
Vie militaire	
Vêtement / Accessoire	Textile > Vêtement et accessoire
