Sac à main	Textile > Vêtement et accessoire > Accessoire
Fauteuil visiteur	Siège > Fauteuil > Fauteuil visiteur
Fauteuil de bureau	Siège > Fauteuil > Fauteuil de bureau
Fauteuil de bureau\n	Siège > Fauteuil > Fauteuil de bureau
Fauteuil confortable	Siège > Fauteuil > Fauteuil confortable
Confortable	Siège > Fauteuil > Fauteuil confortable
Fauteuil confortable	Siège > Fauteuil > Fauteuil confortable
Fauteuil Cabriolet	Siège > Fauteuil > Fauteuil cabriolet
Chaise Lyre	Siège > Chaise > Chaise lyre
Chaise lyre	Siège > Chaise > Chaise lyre
Chaise lyre\nChaise a été vendues au domaine en 1987.	Siège > Chaise > Chaise lyre
Chaise à lyre	Siège > Chaise > Chaise lyre
CHAISE A GRILLE N° 1	Siège > Chaise > Chaise à grille
CHAISE A GRILLE N° 1\n	Siège > Chaise > Chaise à grille
CHAISE A GRILLE N° 2\nNOIRE	Siège > Chaise > Chaise à grille
CHAISE A GRILLE N° 3	Siège > Chaise > Chaise à grille
CHAISE A JOUREE	Siège > Chaise > Chaise à grille
CHAISE AJOUREE	Siège > Chaise > Chaise à grille
CHAISE MEDAILLON	Siège > Chaise
Chaise Gondole	Siège > Chaise
Chaise légère	Siège > Chaise
Canapé	Siège > Canapé
Canapé\nDécision de radiation n°2012/05 du 09.07.2012 pour être reversé au Conseil général de Loir-e	Siège > Canapé
Canapé "Hudson"	Siège > Canapé
Canapé 2 places	Siège > Canapé
Canapé 2 places\nDécision de radiation n°2013/03 du 27.08.2013 pour destruction	Siège > Canapé
Canapé 2 places\nDécision de radiation n°2018/02 du 18/04/2018 suite à la vente aux Domaines du 27 m	Siège > Canapé
Canapé 2 places\nModèle Aura	Siège > Canapé
Canapé 2 places\nModèle Coque	Siège > Canapé
Canapé 2 places\nModèle Drisin	Siège > Canapé
Canapé 2 places\nModèle LC2	Siège > Canapé
Canapé 2 places\nModèle LC2 de 1928	Siège > Canapé
Canapé 2 places\nModèle Marly	Siège > Canapé
Canapé 2 places\nModèle Quai Conti	Siège > Canapé
Canapé 2 places\nModèle Savane	Siège > Canapé
Canapé 2 places\nP.V. VENTE 07 99/2105\nREMIS EN VENTE LE 21.12.1999\nARRETE DU 23.12.1999	Siège > Canapé
Canapé 2 places\nP.V. VENTE 17 2002-FEV-0065\nARRETE DU 07.06.2002	Siège > Canapé
Canapé 2 places\nP.V. VENTE 38 96/1630\nARRETE DU 20.11.1996\n	Siège > Canapé
Canapé 2 places\nP.V. VENTE 57 98/1992\nINVENDU - DETRUIT - P.V. 03\nARRETE DU 22.02.1999\n\n\n	Siège > Canapé
Canapé 2 places\nSister Mangaret	Siège > Canapé
Canapé 2 places\nmodèle California	Siège > Canapé
Canapé 2 places Foster	Siège > Canapé
Canapé 2 places modèle Drisin	Siège > Canapé
Canapé 2 places-méridienne Essex	Siège > Canapé
Canapé 2 places. Modèle LC2 de 1928	Siège > Canapé
Canapé 3 places	Siège > Canapé
Canapé 3 places\nModèle Bastiano	Siège > Canapé
Canapé 3 places\nModèle Drisin	Siège > Canapé
Canapé 3 places\nModèle LC2	Siège > Canapé
Canapé 3 places\nModèle Washington	Siège > Canapé
Canapé 3 places\nP.V. VENTE 17 2002-FEV-0065\nARRETE DU 07.06.2002	Siège > Canapé
Canapé 3 places\nP.V. VENTE 38 96/1630\nARRETE DU 20.11.1996\n	Siège > Canapé
Canapé 3 places\nSister Mangaret	Siège > Canapé
Canapé 3 places\nmodèle California	Siège > Canapé
Canapé 3 places \nModèle Drisin	Siège > Canapé
Canapé 3 places "Hudson"	Siège > Canapé
Canapé 3 places Foster	Siège > Canapé
Canapé 3 places Kenia	Siège > Canapé
Canapé 3 places modèle Drisin	Siège > Canapé
Canapé 5 places\nP.V. 38 VENTE 96/1630	Siège > Canapé
Canapé Salon Jaujard	Siège > Canapé
Canapé Sofa	Siège > Canapé
Canapé Sopha	Siège > Canapé
Canapé anglais	Siège > Canapé
Canapé cintre	Siège > Canapé
Canapé confortable	Siège > Canapé
Canapé confortable\nDECISION DE RADIATION \nN° 2004/4\nDESTRUCTION	Siège > Canapé
Canapé confortable\nDécision de radiation n° 2005/4\nsuite à la vente du 26 mai 2005	Siège > Canapé
Canapé confortable\nDécision de radiation n°2009/4 du 17/07/2009 suite à la vente du 3/07/2009	Siège > Canapé
Canapé confortable\nP.V. VENTE 3* 92/1569\nARRETE DU 11.09.1992	Siège > Canapé
Canapé confortable\nP.V. VENTE 47 97/2075\nREMIS EN VENTE - VENDU LE 24.02.98 ARRETE DU 04.03.1998\n	Siège > Canapé
Canapé confortable\nP.V. VENTE 47 97/2075 REFUSE\nREBUT 51 ARRETE DU 16.04.98	Siège > Canapé
Canapé confortable\nRADIATION DES INVENTAIRES\nARRETE DU 22.08.1990 \nP.V. DE REBUT	Siège > Canapé
